#ID       ;SED+ARKO;SED;ARKO;OTHER;CULTURE;CHARACTERS
#00_dynasties.txt;;;;;;
23115     ;        ;;de Brienne;de Brienne;frankish;40447|90045|90046|90047|90049|9050
23116     ;        ;;d'Altaville;d'Altaville;frankish;
24000     ;        ;;Ayyubiyún;Ayyubid;kurdish;144092|144093|32914|32915|32916|32917|32918|32919|32920|32921|32922|32924|32925|32926|32927|32929|226053|32911|32912|32913|144077|144078|144079|144080|144081|144082|144083|144084|144085|144086|144087|144088|144089|144090|144091|226011|226012|485430|226000|226054|226051|226052|34701|34702|34703|34704|34705|34706|34707|93034|93485|93486|226050|93422|93423|93424|93425
25001     ;        ;;Haraldsson;Haraldsson;swedish;
25002     ;        ;;Mac Arailt;Mac Arailt;scottish;
25003     ;        ;;Ua Dubagáin;Ua Dubagáin;irish;
25004     ;        ;;Mac Dubgaill;Mac Dubgaill;scottish;
25005     ;        ;;Mac Gille-Fáelain;Mac Gille-Fáelain;scottish;
25006     ;        ;;Mac Uchtraigh;Mac Uchtraigh;scottish;
25007     ;        ;;Mac Findláich;Mac Findláich;scottish;
25008     ;        ;;Mac Adaim;Mac Adaim;scottish;
25009     ;        ;;Donnchaid;Donnchaid;scottish;
25010     ;        ;;Mac Donnchada;Mac Donnchada;scottish;
25011     ;        ;;Cormaig;Cormaig;scottish;
25012     ;        ;;Kennoway;Kennoway;scottish;
25013     ;        ;;Lochore;Lochore;scottish;
25014     ;        ;;Abernethy;Abernethy;scottish;453031
25015     ;        ;;Ceitein;Ceitein;scottish;
25016     ;        ;;Mac Torfinn;Mac Torfinn;scottish;
25017     ;        ;;Carrun;Carrun;scottish;
25018     ;        ;;Madethyn;Madethyn;scottish;332006
25019     ;        ;;an Dorsair;an Dorsair;scottish;332037
25020     ;        ;;Archil;Archil;scottish;
25021     ;        ;;Rannaire;Rannaire;scottish;
25022     ;        ;;Mac in Baird;Mac in Baird;scottish;
25023     ;        ;;Mac a' Chruiteir;Mac a' Chruiteir;scottish;
25024     ;        ;;Mac Ruaidri;Mac Ruaidri;scottish;332012|332013|220030
25025     ;        ;;a hÉrinn;a hÉrinn;scottish;
25026     ;        ;;a Monid-Tédaich;a Monid-Tédaich;scottish;
25027     ;        ;;a Gabráin;a Gabráin;scottish;
25028     ;        ;;a Lemnain;a Lemnain;scottish;
25029     ;        ;;Scoine;Scoine;scottish;
25030     ;        ;;a Scóine;a Scóine;scottish;
25031     ;        ;;a hInberuraid;a hInberuraid;scottish;
25032     ;        ;;a Baidenaich;a Baidenaich;scottish;
25033     ;        ;;Na Rannaibh;Na Rannaibh;scottish;
25034     ;        ;;Machair;Machair;scottish;
25035     ;        ;;Siorrachd;Siorrachd;scottish;
25036     ;        ;;Glenklochar;Glenklochar;scottish;
25037     ;        ;;Fothriff;Fothriff;scottish;
25038     ;        ;;Borthwick;Borthwick;scottish;
25039     ;        ;;Srath Nid;Srath Nid;scottish;
25040     ;        ;;A' Mhaoirne;A' Mhaoirne;scottish;
25041     ;        ;;Borthwick;Borthwick;saxon;
25042     ;        ;;Kyle;Kyle;scottish;
25043     ;        ;;Gillespie;Gillespie;scottish;
25044     ;        ;;Cosmungho;Cosmungho;scottish;
25045     ;        ;;Muireadhach;Muireadhach;scottish;
25046     ;        ;;Somhairle;Somhairle;scottish;232686|7391|203009|220019|220027|220031|220032|420019|453054|453055|453056|220029|232683|232684|232685|332014|332015|7278
25047     ;        ;;Breitheamh;Breitheamh;scottish;332007
25048     ;        ;;le Cheyne;le Cheyne;norman;332008
25049     ;        ;;de Kald;de Kald;scottish;332009
25050     ;        ;;Bannock;Bannock;scottish;332010|332011
25051     ;        ;;Glaschu;Glaschu;scottish;332016
25052     ;        ;;de London;de London;saxon;332017
25053     ;        ;;de Malveisin;de Malveisin;frankish;332031
25054     ;        ;;de la Haya;de la Haya;scottish;332019|332020|332022|332023|332024|332021|183531|183532|183533
25055     ;        ;;de Soules;de Soules;norman;332033
25056     ;        ;;Errol;Errol;scottish;332018
25057     ;        ;;de Valognes;de Valognes;norman;332032
25058     ;        ;;Avenel;Avenel;norman;332034
25059     ;        ;;Olifard;Olifard;scottish;332036
25060     ;        ;;de Chaumontois;de Chaumontois;frankish;131715|131714|131717|194170|131718|131716
25061     ;        ;;Karling;Karling;old_frankish;150951|151301|30227|30228|359|40430|40431|40432|40434|40436|40438|40439|40994|411|412|413|414|416|418|419|42020|42021|6394|6396|6398|6400|6401|6402|6403|6404|6406|6408|6410|6411|6441|7814|7902|7907|7920|7960|7982|7997|7999|90095|90096|90097|90098|90102|90103|90104|90110|90111|90112|90113|90120|90121|90122|90123|90125|90126|90154|90155|91210|91211|71907|144975|144977|144978|144980|144981|144998|167005|167754|167764|168024|168080|163170|163171|163172|163174|163175|163176|163177|163178|168315|42018|42019|7945|7949|90105|90107|144997|6392|144999|131720|190412|190413|190414|190415|190416|190417|190418|190421|190422|190423|190424|190427|190428|190454|190430|190431|190432|190433|190434|190435|190436|190449|190450|190451|190452|91401|194169|90094|194174|131721|131722|131719|131723|144988|144989|168128
25062     ;        ;;de Mortain;de Mortain;norman;42009|42006|42007
25063     ;        ;;de Stafford;de Stafford;norman;110638|41211
25064     ;        ;;Kálnoky;Kálnoky;hungarian;
25065     ;        ;;Jerome-Karling;Jerome-Karling;old_frankish;190437|190439|190440|190441|91391|168161|168162
25066     ;        ;;Bernhard-Karling;Bernhard-Karling;old_frankish;190442|190443|190444|190445|190446|190447|190448|168624|168625
25200     ;        ;;Voiteh;Voiteh;bulgarian;34463
25201     ;        ;;Kvirikian;Kvirikian;turkish;41336|41337|41512|41513|41514|144565|41515|41516|1000232542
25202     ;        ;;Hephaistos;Hephaistos;greek;42017
40000     ;        ;;d'Oloron;d'Oloron;frankish;40001
40001     ;        ;;de Soule;de Soule;frankish;
40002     ;        ;;de Leu;de Leu;frankish;
40003     ;        ;;de Coarraze;de Coarraze;frankish;
40004     ;        ;;de Lescar;de Lescar;frankish;
40005     ;        ;;de Morlaas;de Morlaas;frankish;
40006     ;        ;;de Pau;de Pau;frankish;
40007     ;        ;;d'Orthez;d'Orthez;frankish;
40008     ;        ;;de Pardiac;de Pardiac;frankish;
40009     ;        ;;de Fezenzaguet;de Fezenzaguet;frankish;
40010     ;        ;;de Parthenay;de Parthenay;frankish;40060|40062
40011     ;        ;;de Luçon;de Luçon;frankish;
40012     ;        ;;de Talmont;de Talmont;frankish;
40013     ;        ;;d'Aulnay;d'Aulnay;frankish;70947|138114
40014     ;        ;;de Guéret;de Guéret;frankish;
40015     ;        ;;de Martel;de Martel;frankish;
40016     ;        ;;de Cognac;de Cognac;frankish;232000
40017     ;        ;;d'Aubusson;d'Aubusson;occitan;
40018     ;        ;;de Riom;de Riom;frankish;
40019     ;        ;;de Montferrand;de Montferrand;occitan;
40020     ;        ;;de Thiers;de Thiers;frankish;
40021     ;        ;;Trencavel;Trencavel;occitan;110631|40202|205570|205571|205572|205573|205574|40200|40203|40204|7663|200137
40022     ;        ;;de Semur;de Sémur;frankish;209|40340|40342|40344|40345|40346|40348|40350|40352|40354|40356|40358|40360|40362|40363|40364|91148|138417|138418|138419
100000    ;        ;;Ladeniyún;Ladenid;maghreb_arabic;
100001    ;        ;;Akeleye;Akeleye;danish;202014
100002    ;        ;;Brockenhuus;Brockenhuus;danish;
100003    ;        ;;Eóganachta;Eóganachta;irish;83600|83601|83603|83604|83605|83606|83607|83608|83609|83693|83694|83735|83736|83737|83778|83779
100004    ;        ;;Connachta;Connachta;irish;
100005    ;        ;;Uí Néill;Uí Néill;irish;
100006    ;        ;;Posse;Posse;swedish;200014|20011|194259|194260|194261|194262|194263
100007    ;        ;;Uí Maine;Uí Maine;irish;
100008    ;        ;;Laigin;Laigin;irish;
100009    ;        ;;Dál gCais;Dál gCais;irish;900|83330|83331|83332|83333|166093|166094|166095|166096|166097|166098|166099|160261|160262|160263|160264|160265|160266|160267|160268|160269|160270|160271|160272|160273|160274|160275|160276|160277|160278|160279
100010    ;        ;;Ua Fidgeinte;Ua Fidgeinte;irish;908
100011    ;        ;;Oitir;Oitir;irish;
100012    ;        ;;Uí Briain;Uí Briain;irish;
100013    ;        ;;Cholmáin;Cholmáin;irish;
100014    ;        ;;Ua Mael Sechlainn;Ua Mael Sechlainn;irish;
100015    ;        ;;Uí Garrchon;Uí Garrchon;irish;
100016    ;        ;;Laighin;Laighin;irish;
100017    ;        ;;of Hereford;of Hereford;saxon;
100018    ;        ;;Anwyl;Anwyl;welsh;
100019    ;        ;;Cyfeiliog;Cyfeiliog;welsh;
100020    ;        ;;Fane;Fane;welsh;
100021    ;        ;;of Gloucester;of Gloucester;saxon;
100022    ;        ;;of Oxford;of Oxford;saxon;
100023    ;        ;;of Salisbury;of Salisbury;saxon;204530|204532|204533|204535|204536|204537
100024    ;        ;;of Surrey;of Surrey;saxon;
100025    ;        ;;of Sussex;of Sussex;saxon;
100026    ;        ;;of Hampshire;of Hampshire;saxon;
100027    ;        ;;of Dorset;of Dorset;saxon;
100028    ;        ;;of Somerset;of Somerset;saxon;
100029    ;        ;;of Devon;of Devon;saxon;454013
100030    ;        ;;of Exeter;of Exeter;saxon;
100031    ;        ;;of Cornwall;of Cornwall;welsh;159465|159470|159471
100032    ;        ;;of Bristol;of Bristol;welsh;
100033    ;        ;;Kamban;Kamban;norwegian;202013|202516|487073
100034    ;        ;;af Shetland;af Shetland;norwegian;20018|487074
100035    ;        ;;Somerled;Somerled;norwegian;
100036    ;        ;;Møre;Møre;norwegian;
100037    ;        ;;Gallaibh;Gallaibh;scottish;
100038    ;        ;;Cataibh;Cataibh;scottish;
100039    ;        ;;Mac in tSagairt;Mac in tSagairt;scottish;450825|453003|453052|453053|453057|487060|487061|7297|7298|83593
100040    ;        ;;Murray;Murray;scottish;202960|202972|220028|202962|202963|202961
100041    ;        ;;Buchan;Buchan;scottish;232600|232601|232602|332001|332002|332003|332004|332005
100042    ;        ;;a Marr;of Mar;scottish;20075|203006|203059|203060|203062|203063|203064|203065|203066|453006|453020|453022|453023|453024|453025|453026|7367
100043    ;        ;;Aonghas;of Angus;scottish;
100044    ;        ;;Athfotla;of Atholl;scottish;220020|220040|220041|994|7389|7390|203078|220042|220043|220044|7384|7385|7411
100045    ;        ;;Airergaidil;of Argyll;scottish;131101|131102|131103|131104|131105|131106
100046    ;        ;;a Fíb;of Fife;scottish;131003|203032
100047    ;        ;;a Sratha Cluade;of Strathclyde;scottish;166435|166436|166437|166438|166439|166440|131111|131110|166433|166434
100048    ;        ;;Lowden;Lowden;scottish;
100049    ;        ;;Charraig;of Carrick;scottish;
100050    ;        ;;Gallobha;of Galloway;scottish;
100051    ;        ;;Cockburn;Cockburn;scottish;
100052    ;        ;;MacEadwine ;MacEadwine ;scottish;454016|105
100053    ;        ;;of Cumberland;of Cumberland;saxon;454017
100054    ;        ;;Crovan;Crovan;irish;
100055    ;        ;;Craig;Craig;irish;454018
100056    ;        ;;of Durham;of Durham;norman;131601
100057    ;        ;;of York;of York;saxon;
100058    ;        ;;of Lancaster;of Lancaster;saxon;332029
100059    ;        ;;of Chester;of Chester;saxon;454022
100060    ;        ;;Fawr;Ynys Cybi;welsh;
100061    ;        ;;of Lincoln;of Lincoln;saxon;
100062    ;        ;;of Leicester;of Leicester;saxon;
100063    ;        ;;of Derby;of Derby;saxon;
100064    ;        ;;Gwynedd;Gwynedd;welsh;159010|159011|159012|159013|159014|159015|159016|159017|159018|159019|159020|159021|159023|159024|159025|159040|159043|159044|159045|159046|159047|159048|159049|159050|159051|159052|159053|159054|159055|160048
100065    ;        ;;Gruffydd;Gruffydd;welsh;
100066    ;        ;;of Shrewsbury;of Shrewsbury;saxon;
100067    ;        ;;of Warwick;of Warwick;english;454027|7447|7448
100068    ;        ;;of Northampton;of Northampton;saxon;
100069    ;        ;;of Bedford;of Bedford;saxon;
100070    ;        ;;of Norfolk;of Norfolk;saxon;
100071    ;        ;;of Suffolk;of Suffolk;saxon;
100072    ;        ;;of Wessex;of Wessex;saxon;98|99|100|101|102|106|108|110|112|113|114|117|511|7627|7629|90124|33350|33351|33352|33354|33355|33356|33357|33358|161261|161262|161277|168594|1000226334|1000226381|1000226382|1000226215
100073    ;        ;;of Kent;of Kent;saxon;454511|454513|454514|454515|5686|5688|5690|5684
100074    ;        ;;de Guines;de Guines;frankish;
100076    ;        ;;van Yperen;van Yperen;dutch;
100077    ;        ;;d'Artois;de Artois;frankish;
100078    ;        ;;van Brugge;van Brugge;dutch;31350
100079    ;        ;;van Zeeland;van Zeeland;dutch;
100081    ;        ;;van Westfriesland;van Westfriesland;dutch;231002|231003
100082    ;        ;;van Sticht;van Sticht;dutch;30672
100085    ;        ;;van Ostfriesland;van Ostfriesland;dutch;231004
100086    ;        ;;von Oldenburg;von Oldenburg;german;4223
100087    ;        ;;von Osnabrück;von Osnabrück;german;20224|30337|30338|30340
100088    ;        ;;von Münster;von Münster;german;30314
100089    ;        ;;von Kleve;von Kleve;german;
100090    ;        ;;von Jülichgau;von Jülich;german;
100095    ;        ;;d'Amiens;d'Amiens;norman;1000091161
100096    ;        ;;d'Eu;d'Eu;norman;6821
100097    ;        ;;d'Arques;de Arques;frankish;241
100099    ;        ;;d'Evreux;de Evreux;frankish;
100100    ;        ;;d'Avranches;de Avranches;frankish;
100101    ;        ;;de Rennes;de Rennes;frankish;
100102    ;        ;;de Penthièvre;de Penthievre;frankish;
100103    ;        ;;de Léon;de Léon;norman;
100104    ;        ;;de Cornouaille;de Cornouaille;norman;
100105    ;        ;;de Vannes;de Vannes;norman;
100106    ;        ;;de Nantes;de Nantes;norman;
100107    ;        ;;d'Angers;d'Angers;norman;
100108    ;        ;;du Mans;de Maine;frankish;91124
100109    ;        ;;de Vendôme;de Vendome;frankish;
100110    ;        ;;de Blois;de Blois;frankish;
100111    ;        ;;de Chartres;de Chartres;frankish;
100112    ;        ;;du Parisis;d'Île;frankish;
100113    ;        ;;de Péronne;de Vermandois;frankish;550|551|91013|91014|91015|91016|91017|91018|91019|91078|91079|91080|91081
100114    ;        ;;de Reims;de Reims;frankish;138333
100115    ;        ;;de Neuchâtel-Nidau;de Luxembourg;frankish;
100116    ;        ;;de Liège;de Liege;frankish;5626
100117    ;        ;;von Brabant;von Brabant;german;
100118    ;        ;;von Andernach;von Andernach;german;
100119    ;        ;;von Köln;von Köln;german;
100120    ;        ;;von Göttingen;von Göttingen;german;462049|462311|462738
100121    ;        ;;von Nassau;von Nassau;german;
100122    ;        ;;von Leiningen;von Leiningen;german;
100123    ;        ;;von Mainz;von Mainz;german;33064
100124    ;        ;;von Pfalz;von Pfalz;german;
100125    ;        ;;von Baden;von Baden;german;
100126    ;        ;;von Nordgau;von Nordgau;german;
100127    ;        ;;von Lothringen;von Lothringen;german;
100128    ;        ;;von Metz;von Metz;german;11005|11050|11051|11053|20249|31560|31541|31542|31544|31545|31546|31547|31548|31549|144990|161923|161924|161925|161926
100129    ;        ;;de Verdun;de Verdun;frankish;212002
100130    ;        ;;de Troyes;de Troyes;frankish;91125
100131    ;        ;;de Sens;de Sens;frankish;40441
100132    ;        ;;d'Auxerre;d'Auxerre;frankish;
100133    ;        ;;de Saintois;de Saintois;frankish;
100134    ;        ;;von Sundgau;von Sundgau;german;
100135    ;        ;;de Besançon;de Besancon;frankish;
100136    ;        ;;de Dijon;de Dijon;frankish;1169
100137    ;        ;;de Château-Chinon;de Nevers;frankish;
100138    ;        ;;d'Orléans;d'Orleans;frankish;91122
100139    ;        ;;de Bourges;de Bourges;frankish;91324|91325|91326
100140    ;        ;;de Touraine;de Tourraine;frankish;
100141    ;        ;;de Poitou;de Poitiers;occitan;
100142    ;        ;;de la Trémoille;de la Trémoille;frankish;
100143    ;        ;;de Saintonge;de Saintonge;frankish;
100144    ;        ;;de Cilicia;de Cilicia;frankish;
100145    ;        ;;de La Marche;de La Marche;frankish;322|40071|54002|138044|324|138045|138047|40068|40070|320|325
100146    ;        ;;de Bourbon;de Bourbon;frankish;455650|455651|455652|455653|455655|455656|455657|455654
100147    ;        ;;de Limousin;de Limousin;frankish;
100148    ;        ;;d'Angoûleme;d'Angouleme;frankish;
100149    ;        ;;de Bordeaux;de Bordeaux;occitan;
100150    ;        ;;d'Albret;d'Albret;occitan;455630
100151    ;        ;;de Labourd;de Labourd;occitan;
100152    ;        ;;de Estella;de Estella;basque;106019
100153    ;        ;;de Viscaya;de Viscaya;basque;
100154    ;        ;;de Asturias de Santillana;de Asturias de Santillana;basque;
100155    ;        ;;de Asturias de Oviedo;de Asturias de Oviedo;basque;
100156    ;        ;;de Compostela;Compostela;basque;
100157    ;        ;;de Santiago;de Santiago;castillan;72845|72846|72847|72848|72849
100158    ;        ;;de Porto;de Porto;portuguese;109606
100159    ;        ;;de Coimbra;de Coimbra;portuguese;
100160    ;        ;;de Lisboa;de Lisboa;portuguese;
100161    ;        ;;de Alcácer do Sal;de Alcácer do Sal;portuguese;
100162    ;        ;;de Silves;de Silves;portuguese;
100163    ;        ;;de Faro;de Faro;portuguese;
100164    ;        ;;de Niebla;de Niebla;castillan;
100165    ;        ;;de Cádiz;de Cádiz;castillan;
100166    ;        ;;de Algeciras;de Algeciras;castillan;
100167    ;        ;;de Málaga;de Málaga;castillan;
100168    ;        ;;de Almería;de Almería;castillan;
100169    ;        ;;de Murcia;de Murcia;castillan;
100170    ;        ;;de Denia;de Denia;castillan;
100171    ;        ;;de Valencia;de Valencia;castillan;
100172    ;        ;;de Castellon;de Castellon;castillan;
100173    ;        ;;de Tarragona;de Tarragona;catalan;
100174    ;        ;;de Albarracín;de Albarracín;castillan;
100175    ;        ;;de Calatayud;de Calatayud;castillan;
100176    ;        ;;de Molina;de Molina;castillan;
100177    ;        ;;de Cuenca;de Cuenca;castillan;
100178    ;        ;;de La Mancha;de La Mancha;castillan;
100179    ;        ;;de Almansa;de Almansa;castillan;
100180    ;        ;;de Granada;de Granada;castillan;
100181    ;        ;;de Cordoba;de Cordoba;castillan;
100182    ;        ;;de Sevilla;de Sevilla;castillan;
100183    ;        ;;de Aracena;de Aracena;castillan;
100184    ;        ;;de Badajoz;de Badajoz;castillan;
100185    ;        ;;de Mértola;de Mértola;portuguese;
100186    ;        ;;de Évora;de Évora;portuguese;
100187    ;        ;;de Castelo Branco;de Castelo Branco;portuguese;
100188    ;        ;;de Braganza;de Braganza;portuguese;
100189    ;        ;;de Astorga;de Astorga;castillan;72398|72399|72400|72401
100190    ;        ;;de León;de León;castillan;
100191    ;        ;;de Zamora;de Zamora;castillan;
100192    ;        ;;de Salamanca;de Salamanca;castillan;
100193    ;        ;;de Alcántara;de Alcántara;castillan;73161|73164|73165|73167|73169|73173|73174
100194    ;        ;;de Plasencia;de Plasencia;castillan;
100195    ;        ;;d'Arena;d'Arena;italian;457014
100196    ;        ;;de Calatrava;de Calatrava;castillan;73150|224003|73155|73159|73160
100197    ;        ;;Ferrer;Ferrer;catalan;
100198    ;        ;;de Valladolid;de Valladolid;castillan;
100199    ;        ;;de Burgos;de Burgos;castillan;
100200    ;        ;;de Soria;de Soria;castillan;
100201    ;        ;;de La Rioja;de La Rioja;basque;
100202    ;        ;;de Zaragoza;de Zaragoza;castillan;
100203    ;        ;;de Lleida;de Lleida;catalan;
100204    ;        ;;de Barcelona;de Barcelona;catalan;110520|110521|110522|110524|110525|110530|110531|110540|110541|210500|210501|210502|210503|210504|210505|210506|210508|210511|210512|210513|210514|210516|40807|455529|460500|460510|460520|460530|460540|460550|460560|460562|460563|460564|460565|460566|460567|460570|460571|460572|460573|460580|460590|460591|460592|460600|460602|460603|460604|460605|460607|460608|460609|460610|460611|460612|460620|460621|461550|70170|70172|70173|70175|70176|70177|70178|70179|70180|70181|70190|71596|71612|71613|71614|71615|71616|71638|71639|71641|71643|71644|71645|71646|71650|71651|71652|71653|71669|71670|71671|71672|71673|71683|71684|71685|71686|71688|71689|71690|71691|71692|71693|71694|71695|71696|71737|71738|71739|71740|71741|71742|71744|71745|71746|71747|71748|71749|71750|71751|71760|71762|71763|71764|71765|71766|71767|71768|71769|71770|71774|71775|461500|110523|461502|461503|461504|461505|461506|461507|461508|461509|461510|461520|461551|461553|461554|461555|461556|461557|461565|461567|71752|71753|71754|71756|71758|71759|461552|210517|40808|454536|455407|455409|71640|71647|71648|71649|70150|70154|73785|73993|73995|73996|73997|73998|73999|110536|110538|200155|70152|70153|74100
100205    ;        ;;d'Empordà;d'Empordà;catalan;
100206    ;        ;;Mariano;Mariano;basque;
100207    ;        ;;de Jaca;de Jaca;basque;
100209    ;        ;;d'Armanhac;d'Armagnac;occitan;40009|40010|40012|40016|40014|40015|40018|205671|138127|205670|205673|205674|138345
100210    ;        ;;de Foix;de Foix;frankish;
100211    ;        ;;de Roselló;de Roselló;catalan;
100212    ;        ;;de Narbona;de Narbonne;occitan;
100213    ;        ;;de Carcassonne;de Carcassonne;occitan;110634|127025|1000227200|1000227201|1000227202|1000227203|1000227204|1000227205|1000227206
100214    ;        ;;de Toulouse;de Toulouse;occitan;
100215    ;        ;;d'Agen;d'Agen;occitan;138334
100216    ;        ;;de Périgord;de Perigord;frankish;71367
100217    ;        ;;Gellones;Gellones;occitan;127022|127024|168139|168140|168142|168146|127026|127027|168131|168133|168134|168135|168136|168137|168138|200152|73784|127019|163063|168127|168129|168130
100218    ;        ;;de Roergue;de Rouergue;occitan;
100219    ;        ;;de Gavaudan;de Gevaudan;occitan;10030|32274|40258|138227|40260|138226|138228|138231|40261|10029|321
100220    ;        ;;de Montpelhièr;de Montpellier;occitan;138283|138285|138287|138286|138288|138290|138292|138294|138295|138296|138297|205581|138291|205580|205582|138293|138298|200125
100221    ;        ;;de Céreste;de Provence;occitan;421
100222    ;        ;;de Venaissin;de Venaissin;occitan;
100223    ;        ;;de Viviers;de Viviers;occitan;20291
100225    ;        ;;de Mâcon;de Macon;frankish;40330|40332|40333|40335
100226    ;        ;;de Charolais;de Charolais;occitan;
100227    ;        ;;de Lyon;de Forez;occitan;10036|10038|10028|10037|20290|212806|212807|168238|168239|168240|168241|168242|168243
100228    ;        ;;de Royans;de Dauphine;frankish;
100229    ;        ;;de Forcalquier;de Forcalquier;occitan;
100230    ;        ;;de Nice;de Nice;occitan;
100231    ;        ;;de Saluces;de Saluces;italian;
100232    ;        ;;de Monferrato;de Monferrato;frankish;
100233    ;        ;;di Genova;di Genova;italian;213015|463400
100234    ;        ;;di Pavia;di Pavia;italian;213019|5606|32560
100235    ;        ;;di lombardia;di lombardia;italian;213020
100236    ;        ;;di Piemonte;di Piemonte;italian;220300|5608
100238    ;        ;;de Valais;de Valais;frankish;
100239    ;        ;;de Genève;de Genève;frankish;212740|212741|212742|212743|212744|212745|212746|71093|32732|32733|32734|32735|32736|32737|32738|32739|32740|32741|32742|32743|32744|32745|32746|32747|32748|32749|32750|32751|32752|32753|32754|32755|32757|32758|10079|10080|20292|168247|168248|168249|168250|168251|168252
100240    ;        ;;de Châlon;de Chalons;frankish;40320|40322|40323|40325
100241    ;        ;;de Valangin;von Neuchatel;frankish;462053
100242    ;        ;;von Aargau;von Aargau;german;
100243    ;        ;;di Orvieto;di Orvieto;italian;
100244    ;        ;;von Bern;von Bern;german;
100245    ;        ;;von Schwyz;von Schwyz;german;30655|462085
100246    ;        ;;de Coire;de Grisons;frankish;
100247    ;        ;;von Chur;de Chur;german;
100248    ;        ;;di Gallen;di Gallen;italian;
100249    ;        ;;von Schwaben;von Schwaben;german;212401
100250    ;        ;;von Breisgau;von Breisgau;german;
100251    ;        ;;von Fürstenberg;von Fürstenberg;german;
100252    ;        ;;von Ulm;von Ulm;german;487016
100253    ;        ;;von Württemberg;von Württemberg;german;
100254    ;        ;;von Franken;von Franken;german;462070
100255    ;        ;;von Thüringen;von Thüringen;german;
100256    ;        ;;von Weimar;von Weimar;german;
100257    ;        ;;von Braunschweig;von Braunschweig;german;
100258    ;        ;;von Lüneburg;;german;
100259    ;        ;;von Celle;von Celle;german;
100260    ;        ;;von Mecklemburg;von Mecklemburg;german;
100261    ;        ;;von Hamburg;von Hamburg;german;34156|151012
100262    ;        ;;von Lübeck;von Lübeck;german;
100263    ;        ;;Gøye;Gøye;danish;1000227877
100264    ;        ;;Grøn;Grøn;danish;
100265    ;        ;;Friis;Friis;danish;
100266    ;        ;;Daa;Daa;danish;
100267    ;        ;;Kyrning;Ryning;danish;201005
100268    ;        ;;Bille;Bille;danish;20016|202001
100269    ;        ;;Krabbe;Krabbe;danish;202002
100270    ;        ;;Blixen;Blixen;norwegian;20017|202003
100271    ;        ;;Lodehat;Lodehat;danish;202004
100272    ;        ;;Pagh;Pagh;danish;202060
100273    ;        ;;Stibolt;Stibolt;norwegian;167019|102521|102522|102523|102524|102525
100274    ;        ;;Wedel;Vedel;norwegian;
100275    ;        ;;Rosenkrantz;Rosenkrantz;danish;202007
100276    ;        ;;Kaas;Kaas;danish;202008
100277    ;        ;;Juel;Juel;danish;
100278    ;        ;;Bildt;Bildt;danish;202010
100279    ;        ;;Magga;Magga;lappish;144644|144645|144646|20617|228000|486000
100280    ;        ;;Frille;Frille;danish;200001|20015|487070|143142|143143|143144|143145
100281    ;        ;;Eketrä;Eketrä;swedish;200002|20014|487071|143140|143141
100282    ;        ;;Galte;Galte;norwegian;200003
100283    ;        ;;Ekeblad;Ekeblad;swedish;200004|20013|487072
100284    ;        ;;And;And;swedish;20019|200005
100285    ;        ;;Gera;Gera;swedish;200006
100286    ;        ;;Soop;Soop;swedish;200007
100287    ;        ;;Hiort;Hiort;swedish;200008|20005
100288    ;        ;;Gylta;Gylta;swedish;200009|200019
100289    ;        ;;Kärling;Kärling;swedish;200018
100290    ;        ;;af Finsta;af Finsta;swedish;200016|450710|450711|450714|450715|450716|450717
100291    ;        ;;Gren;Gren;swedish;200017|20006|143136|143137
100292    ;        ;;Leijonhufvud;Leijonhufvud;swedish;
100293    ;        ;;af Aspenäs;af Aspenäs;swedish;200550
100294    ;        ;;Rosenstråle;Rosenstråle;swedish;20009
100295    ;        ;;Gälta;Gälta;swedish;200010|20008|143138|143139
100296    ;        ;;af Hammersta;af Hammersta;swedish;
100297    ;        ;;Lilliehöök;Lilliehöök;swedish;194247|194248|194249|194250|194251|194252
100298    ;        ;;af Malsta;af Malsta;swedish;200011|20010
100299    ;        ;;Puke;Puke;swedish;200012|20012
100300    ;        ;;Slatte;Slatte;swedish;200013|20007
100301    ;        ;;Ängel;Ängel;swedish;200015
100302    ;        ;;Reventlow;Reventlow;danish;
100303    ;        ;;af Torestorp;af Torestorp;danish;
100304    ;        ;;Slaweka;Slaweka;pommeranian;462200|101543|101545|8420
100305    ;        ;;Ulfstand;Ulfstand;danish;
100306    ;        ;;z Roztoki;z Roztoki;pommeranian;
100307    ;        ;;von Amsberg;von Amsberg;german;
100308    ;        ;;von Wolgast;von Wolgast;german;20625
100309    ;        ;;von Altmark;von Altmark;german;
100310    ;        ;;von Anhalt;von Anhalt;german;
100311    ;        ;;von Plauen;von Plauen;german;
100312    ;        ;;von Ascania;von Ascania;german;
100313    ;        ;;von Ansbach;von Ansbach;german;
100314    ;        ;;von Nürnberg;von Nürnberg;german;
100315    ;        ;;von Kempten;von Kempten;german;168310
100316    ;        ;;von Arnim;von Arnim;german;
100317    ;        ;;von Trent;von Trent;german;20312
100318    ;        ;;da Brescia;da Brescia;italian;413016
100320    ;        ;;di Cremona;di Cremona;italian;194181|213008|7718|7720|7722|7724
100321    ;        ;;di Parma;di Parma;italian;1000167016|1000167017|194178|2009|213009|71283|71284|71285|71286|71287|71288|71289
100322    ;        ;;di Modena;di Modena;italian;194180|213012
100323    ;        ;;di Lucca;di Lucca;italian;
100324    ;        ;;di Corsica;di Corsica;italian;
100325    ;        ;;di Arborea;di Arborea;italian;
