#ID     ;SED     ;VANILLA;CULTURE;CHARACTERS
#00_dynasties.txt;;;;
100272  ;        ;Pagh;norwegian;202060
100273  ;        ;Stibolt;norwegian;167019|102521|102522|102523|102524|102525
100274  ;        ;Vedel;norwegian;
100275  ;        ;Rosenkrantz;norwegian;202007
100276  ;        ;Kaas;norwegian;202008
100277  ;        ;Juel;norwegian;
100278  ;        ;Bildt;norwegian;202010
100279  ;        ;Magga;lappish;144644|144645|144646|20617|228000|486000
100280  ;        ;Frille;swedish;200001|20015|487070|143142|143143|143144|143145
100281  ;        ;Eketrä;swedish;200002|20014|487071|143140|143141|1234014
100282  ;        ;Galte;norwegian;200003
100283  ;        ;Ekeblad;swedish;200004|20013|487072|1234009
100284  ;        ;And;swedish;20019|200005
100285  ;        ;Gera;swedish;200006
100286  ;        ;Soop;swedish;200007
100287  ;        ;Hiort;swedish;200008|20005|1234008
100288  ;        ;Gylta;swedish;200009|200019
100289  ;        ;Kärling;swedish;200018
100290  ;        ;af Finsta;swedish;200016|450710|450711|450714|450715|450716|450717
100291  ;        ;Gren;swedish;200017|20006|143136|143137|1234012
100292  ;        ;Leijonhufvud;swedish;
100293  ;        ;af Aspenäs;swedish;200550
100294  ;        ;Rosenstråle;swedish;20009
100295  ;        ;Gälta;swedish;200010|20008|143138|143139
100296  ;        ;af Hammersta;swedish;
100297  ;        ;Lilliehöök;swedish;194247|194248|194249|194250|194251|194252
100298  ;        ;af Malsta;swedish;200011|20010
100299  ;        ;Puke;swedish;200012|20012
100300  ;        ;Slatte;swedish;200013|20007
100301  ;        ;Ängel;swedish;200015
100302  ;        ;Reventlow;danish;
100303  ;        ;af Torestorp;danish;
100304  ;        ;Slaweka;pommeranian;462200|101543|101545|8420
100305  ;        ;Ulfstand;danish;
100306  ;        ;z Roztoki;pommeranian;
100307  ;        ;von Amsberg;german;
100308  ;        ;von Wolgast;german;20625
100309  ;        ;von Altmark;german;
100310  ;        ;von Anhalt;german;
100311  ;        ;von Plauen;german;
100312  ;        ;von Ascania;german;
100313  ;        ;von Ansbach;german;
100314  ;        ;von Nürnberg;german;
100315  ;        ;von Kempten;german;168310
100316  ;        ;von Arnim;german;
100317  ;        ;von Trent;german;20312
100318  ;        ;da Brescia;italian;413016
100320  ;        ;di Cremona;italian;194181|213008|7718|7720|7722|7724
100321  ;        ;di Parma;italian;194178
100322  ;        ;di Modena;italian;194180
100323  ;        ;di Lucca;italian;1061903|1061904
100324  ;        ;di Corsica;italian;
100325  ;        ;di Arborea;italian;
100326  ;        ;di Cagliari;italian;1167089|180183|144251|144252|144253|144524|20326|71310
100327  ;        ;di Livorno;italian;168364
100328  ;        ;di Firenze;italian;213014
100329  ;        ;di Urbino;italian;
100330  ;        ;di Siena;italian;413017|71810
100331  ;        ;di Piombino;italian;
100332  ;        ;di Orbetello;italian;
100333  ;        ;di Roma;italian;2015|2016|2014|70859
100334  ;        ;di Napoli;italian;30853|180505
100335  ;        ;di Benevento;italian;73470
100336  ;        ;di Salerno;italian;1227501|1227502|1227503|200350|1116|1119|1123|1129|1137|30861|30860|30859|30855|30856|30857|30858|200324|200325|200327|200328|200331|200332|200333|200335|200336|200337|200338|200339|200340|200341|200342|200343|200344|200345|200346|200347|200348|200351|200352|200353|200354|200355|200356|200358|200359|200360|200361|200362|200363|200364|200329|200349|200365
100337  ;        ;di Consenza;italian;
100338  ;        ;di Reggio;italian;
100339  ;        ;di Messina;italian;
100340  ;        ;di Palermo;italian;
100341  ;        ;di Trapani;italian;
100342  ;        ;di Agrigento;italian;
100343  ;        ;di Siracusa;italian;
100344  ;        ;di Taranto;italian;211517
100345  ;        ;di Lecce;italian;73270|73272|73273|73274|73275|73276|73277|73278|73279|73280|73281|73283|73284|73285|73286|73287|211508
100346  ;        ;di Bari;italian;70818
100347  ;        ;di Apulia;italian;
100348  ;        ;di Foggia;italian;73358
100349  ;        ;di Spoleto;italian;7931|7930|7918|7919|7929
100350  ;        ;di Ancona;italian;213025
100351  ;        ;di Ravenna;italian;
100352  ;        ;di Bologna;italian;20335
100353  ;        ;di Ferrara;italian;
100354  ;        ;di Mantua;italian;213024|168334
100355  ;        ;di Padua;italian;194179|213022|70657
100356  ;        ;di Venezia;italian;
100357  ;        ;di Treviso;italian;413023
100358  ;        ;d'Aquileia;italian;212070|70831|70832|7704|7700|70826
100359  ;        ;von Innsbruck;german;168308
100360  ;        ;von Oberbayern;german;
100361  ;        ;von Niederbayern;german;
100362  ;        ;Bavor ze Strakonic;bohemian;
100364  ;        ;von Lausitz;german;168567
100366  ;        ;von Stettin;german;
100367  ;        ;ze Slupska;pommeranian;
100368  ;        ;von Danzig;prussian;474020|20626
100369  ;        ;von Seidlitz;prussian;
100370  ;        ;von Marienburg;prussian;144671|228015|28015
100371  ;        ;Konopacki;prussian;228016|28016
100372  ;        ;von Memel;lettigallish;228022|143149|28022
100373  ;        ;von Kurs;lettigallish;228075|28075|143132|143133|1227760|1227761
100374  ;        ;Goštautas;lithuanian;144629|20603|220603
100375  ;        ;von Rohrbach;lettigallish;30443
100376  ;        ;Kask;finnish;474080
100377  ;        ;Kukk;finnish;
100378  ;        ;Sepp;finnish;228024
100379  ;        ;Tamm;finnish;228025
100380  ;        ;Pärn;finnish;144631
100381  ;        ;Laine;finnish;228002
100382  ;        ;Korhonen;finnish;144635|20612|170136|170137|170138|170139|170140|170309|170310|170311|170312
100383  ;        ;Hämäläinen;finnish;144626|144627|228003|28003|170126|170127|170128|170129|170130|170313|170314|170315
100384  ;        ;Virtanen;finnish;144641|228011|28011|170131|170132|170133|170134|170135|170306|170307|170308
100385  ;        ;Järvinen;finnish;228008
100386  ;        ;Kemiläinen;finnish;486010|143128|143131
100387  ;        ;Guoládat;lappish;144625|228009|28009|170146|170147|170148|170149|170150|170333|170334|170335|170336|170337|472301
100388  ;        ;Karjalainen;finnish;170324|170325|170326|170327|170328|228004|28004|144634|170111|170112|170113|170114|170115|1233815|1233816|1233817|1233818|1233819
100389  ;        ;Kukkonen;finnish;486030|228010|28010
100390  ;        ;Savolainen;finnish;144636|144637|228005|28005|170121|170122|170123|170124|170125|170320|170321|170322|170323
100391  ;        ;Oravainen;finnish;228006|28006
100392  ;        ;Itkonen;finnish;170316|170317|170318|170319|170116|170117|170118|170119|170120|28035|144642|228035|144643|1233814
100393  ;        ;Tolstoy;russian;222021|472305
100394  ;        ;Pahlen;german;222022|472306
100395  ;        ;Oksakov;russian;222023|472307
100396  ;        ;Ovinov;russian;222024|472308
100397  ;        ;Romanov;russian;222025|472309
100398  ;        ;Okolnichy;russian;222026|472310
100399  ;        ;Yenikeyev;russian;222027|472311
100400  ;        ;Bakunin;russian;472319|229001
100401  ;        ;Balashov;russian;472320|229002
100402  ;        ;Rumyanets;russian;472318
100403  ;        ;Matveev;russian;222029|472312
100404  ;        ;Artamonovich;russian;472000
100405  ;        ;Osipovich;russian;472001
100406  ;        ;Ignatiev;russian;472002
100407  ;        ;Bestuzhev-Ryumin;russian;472003
100408  ;        ;Cherkassky;russian;20419
100409  ;        ;Chernyshev;russian;222030|472313
100410  ;        ;Galitsyn;russian;222020|472300
100411  ;        ;Saar;finnish;
100412  ;        ;Dashkov;russian;222031|472315
100413  ;        ;Demidov;russian;20446
100414  ;        ;Alexandrov;russian;20445|222033|472316
100415  ;        ;Sobakin;russian;222034|472317
100416  ;        ;Giedraitis;lithuanian;
100417  ;        ;Glinsky;russian;20449
100418  ;        ;Radvila;lithuanian;20468
100419  ;        ;Alelkaitis;lithuanian;
100420  ;        ;Gedgaudis;lithuanian;228013|28012|143134|143135
100421  ;        ;Sviriskis;lithuanian;228014
100422  ;        ;Valmantaitis;lithuanian;228018
100423  ;        ;Kesgailos;lithuanian;
100424  ;        ;Mangirdaitis;lithuanian;
100425  ;        ;Pacas;lithuanian;20460
100426  ;        ;Chodkevicius;lithuanian;144673|144674|228017|28017
100427  ;        ;von Finckenstein;prussian;474130|144672|228019|28019
100428  ;        ;Sypniewski;polish;
100429  ;        ;Odrowaz;polish;
100430  ;        ;von Beetzen;german;220390
100431  ;        ;Lanckoronski;polish;
100432  ;        ;Taczanowski;polish;
100433  ;        ;Lubranski;polish;
100434  ;        ;von Abensberg;german;
100435  ;        ;von Berlichingen;german;
100436  ;        ;Czernín;bohemian;
100438  ;        ;von Harrach;bohemian;
100442  ;        ;Niedzica;hungarian;219001
100443  ;        ;Zápolya;hungarian;
100444  ;        ;Székely;hungarian;219003
100445  ;        ;Dózsa;hungarian;219004
100446  ;        ;von Bibra;german;
100447  ;        ;von Bismarck;german;
100448  ;        ;von Bodeck;german;
100449  ;        ;Boeselager;german;
100450  ;        ;Apafi;hungarian;219005|93652|93653|93654
100451  ;        ;Balassi;hungarian;219006
100452  ;        ;Bethlen von Iktár;hungarian;219007
100453  ;        ;of Szekezfehervar;hungarian;219008
100454  ;        ;Budai Nagy;hungarian;219009
100455  ;        ;Jaworski;german;
100456  ;        ;Brauchitsch;german;
100457  ;        ;von Bülow;german;
100458  ;        ;Borgia;italian;
100459  ;        ;Cantemir;german;
100460  ;        ;Svetoslavic;croatian;219010
100461  ;        ;Krešimirovic;croatian;470007|220000
100462  ;        ;Domagojevic;croatian;167855|167856|167857|146006|146007|146008
100463  ;        ;Feštetic;croatian;220001
100464  ;        ;Gorjanski;croatian;93539|93540|93541|93542|93543|93544|93545|93546|93547|93548|93549|93550|93553
100465  ;        ;Lackfi;croatian;220496
100466  ;        ;Odescalchi;romanian;220003
100467  ;        ;Šubic;croatian;220495
100468  ;        ;Vukovic;serbian;218003
100469  ;        ;Radoslav;serbian;
100470  ;        ;Caradja;serbian;
100471  ;        ;Karatzas;greek;
100472  ;        ;dalle Carceri;italian;31487|31488|31489|31473|31490|31493|31494|31495|1064815|1064816
100473  ;        ;Clavelli;italian;215007
100474  ;        ;Sommaripa;italian;220502
100475  ;        ;Amiroutzes;greek;1232104
100476  ;        ;Bessarion;greek;
100477  ;        ;Callistus;greek;463120
100478  ;        ;Chalkokondyles;greek;
100479  ;        ;Gazis;greek;
100480  ;        ;Kourtesios;greek;463130
100481  ;        ;Kallistos;greek;1232341|1232342|1232343|1232344|1232345|1232346|1232347
100482  ;        ;Kladas;greek;
100483  ;        ;de Patras;greek;
100484  ;        ;Gemistus;greek;
100485  ;        ;Allatios;greek;
100486  ;        ;Chalcocondyles;greek;
100487  ;        ;Korniaktos;greek;
100488  ;        ;Damaskenos;greek;
100489  ;        ;Eparchos;greek;215016
100490  ;        ;Flanginis;greek;215017|232503
100491  ;        ;Fokás;greek;215018
100492  ;        ;Fruzhin;bulgarian;
100493  ;        ;Heraclides;greek;
100494  ;        ;Kallokratos;greek;
100495  ;        ;Kottounios;greek;
100496  ;        ;Leontaritis;greek;
100497  ;        ;Loukanis;greek;
100498  ;        ;Ermi;bulgarian;
100499  ;        ;Hrabar;bulgarian;
100500  ;        ;Exarch;bulgarian;467505
100501  ;        ;Prosigoj;serbian;217009
100502  ;        ;Vlastimirovic;serbian;163116|167858|167859|167860|167861|167862|167863|167864|167869|167870|167871|167872|167873|167874|167875|167876
100503  ;        ;Gojnikovic;serbian;
100504  ;        ;Branovic;serbian;
100505  ;        ;Pribisavljevic;serbian;219012
100506  ;        ;Klonimirovic;serbian;
100507  ;        ;Sigritsa;bulgarian;
100508  ;        ;Chrysos;bulgarian;34584
100509  ;        ;Komnene;bulgarian;
100510  ;        ;Svetoslav;bulgarian;
100511  ;        ;Palaeologus;bulgarian;
100512  ;        ;Golovin;russian;20635|194386|194387|475400
100513  ;        ;Costin;romanian;475100
100514  ;        ;Machabeli;georgian;20637
100515  ;        ;Szilágyi ;romanian;20638|475200
100516  ;        ;Jianu;romanian;20639|475300
100517  ;        ;de Kincstartó;hungarian;219013
100518  ;        ;Celko;hungarian;219014
100519  ;        ;Corvinus;hungarian;219015
100520  ;        ;de Cseszneky;hungarian;219016
100521  ;        ;de Milvány;hungarian;219017
100522  ;        ;von Moraván;hungarian;
100523  ;        ;Dávid ;hungarian;219018
100524  ;        ;Décsey;hungarian;219019
100525  ;        ;Mézesi;hungarian;219020
100526  ;        ;Tarnowski;polish;
100527  ;        ;Giese;polish;
100528  ;        ;Kolanka;polish;
100529  ;        ;Gamrat;polish;
100530  ;        ;Hlebowicius;lithuanian;
100531  ;        ;Mielzynski;polish;
100532  ;        ;Oginski;polish;
100533  ;        ;de Ruszka;hungarian;219021
100534  ;        ;Gurielov;russian;
100535  ;        ;Sudimantaitis;lithuanian;20458
100536  ;        ;Khitrov;russian;
100537  ;        ;Draskovich;hungarian;219022|93638
100538  ;        ;Erdödy;hungarian;219023
100539  ;        ;Révay;hungarian;219024
100540  ;        ;Duružmic;hungarian;219025
100541  ;        ;Micu-Klein;romanian;20640|475410
100542  ;        ;Gutkeled;cuman;475420|20641
100543  ;        ;Kolbasz;cuman;479050|20642
100544  ;        ;Khovansky;russian;472101
100545  ;        ;Olas;cuman;475430
100546  ;        ;of Terebovl;russian;472102
100547  ;        ;Kikin;russian;90144
100548  ;        ;Kobylin;russian;
100549  ;        ;Korybut;lithuanian;20459
100550  ;        ;Lopukhin;russian;
100551  ;        ;Lvov;russian;20448
100552  ;        ;Rumyantsev;russian;
100553  ;        ;Matveyev;russian;
100554  ;        ;Menshikov;russian;472250
100555  ;        ;Meshchersky;russian;472450|90141
100556  ;        ;Kunev;cuman;
100557  ;        ;Kumanov;cuman;
100558  ;        ;Folban;cuman;
100560  ;        ;Margunios;greek;
100561  ;        ;Musurus;greek;215040
100563  ;        ;Qoun;cuman;
100564  ;        ;Polovtsy;cuman;
100565  ;        ;Miloslavsky;russian;
100566  ;        ;Kipchak;cuman;34992
100567  ;        ;Morozov;russian;472400
100568  ;        ;Naryshkin;russian;
100569  ;        ;Poluektovich;russian;
100570  ;        ;Neplyuyev;russian;20423
100571  ;        ;Obolensky;russian;20420
100572  ;        ;Panin;russian;20421
100573  ;        ;Pankeyev;russian;
100574  ;        ;Paskevich;russian;90145|90146|90147
100575  ;        ;Potyomkin;russian;20424
100576  ;        ;Pushkin;russian;
100577  ;        ;Bogolyubsky;russian;20453
100578  ;        ;Rtishchev;russian;
100579  ;        ;Anttonen;finnish;428070|228070
100580  ;        ;Shafirov;russian;20451
100581  ;        ;Shchenya;russian;20454
100582  ;        ;Shein;russian;
100583  ;        ;Shemyachich;russian;20416
100584  ;        ;Shemyaka;russian;
100585  ;        ;Sheremetev;russian;
100586  ;        ;Shuvalov;russian;229003
100587  ;        ;Danske;swedish;20450|229004|480260
100588  ;        ;Fleming;swedish;229005|480080
100589  ;        ;Bidz;swedish;229006|480270
100590  ;        ;Diekn;swedish;229007|480090
100591  ;        ;Karpela;finnish;229008|480100
100592  ;        ;Stiernkors;swedish;228071|143146|480110
100593  ;        ;Kuman;cuman;228072|480120
100594  ;        ;Skuratov;russian;
100595  ;        ;Stolnik;russian;
100596  ;        ;Thocomer;cuman;
100597  ;        ;Bazaraads;cuman;
100598  ;        ;Trubetskoy;russian;215041
100599  ;        ;Kunság;cuman;
100600  ;        ;Abuserisdze;georgian;
100601  ;        ;Surameli;georgian;
100602  ;        ;Alauni;alan;20664|480200
100603  ;        ;Halani;alan;20662|216540|228060|41592|41593|41594|9953|9956|93035|93036|93037|194409
100604  ;        ;Alp;turkish;228063|480160|93040|93041|93042|93043|93044|93045|93046|1233495
100605  ;        ;Shoana;alan;20665|228064|480170|480210|194425|1233494
100606  ;        ;Senty;alan;20666|228065|480180|93038|93039|93047|93048|194416|194415|1233496|1233497
100607  ;        ;Nagykunság;cuman;
100608  ;        ;Kiskunság;cuman;
100609  ;        ;Uvarov;russian;480010
100610  ;        ;Turgenev;russian;229009|480130
100611  ;        ;Valuyev;russian;229000|480250
100612  ;        ;Vogak;russian;229010|480040
100613  ;        ;Volynsky;volhynian;229011|480280
100614  ;        ;Bortz;cuman;
100615  ;        ;Bahariyya;cuman;20923|194394|194395|228042|1233351|1233352
100616  ;        ;Klobuky;cuman;
100617  ;        ;Kimak;cuman;480020
100618  ;        ;Altar;turkish;
100619  ;        ;Aybars;turkish;
100620  ;        ;Doganin;turkish;20663|194391|194392
100621  ;        ;Ecevit;turkish;
100622  ;        ;Gökhan;turkish;
100623  ;        ;Ilhan;turkish;
100624  ;        ;Kagan;turkish;
100625  ;        ;Metehan;turkish;
100626  ;        ;Ozan;turkish;
100627  ;        ;Senol;turkish;
100628  ;        ;Tarkan;turkish;478050
100629  ;        ;Utku;turkish;
100630  ;        ;Yavuz;turkish;
100631  ;        ;Olcayto;turkish;
100632  ;        ;Kazeruni;persian;478027
100633  ;        ;Tahirids;persian;478080
100634  ;        ;Ummayyads;persian;
100635  ;        ;Samanid;persian;478028
100636  ;        ;Muqannid;persian;
100637  ;        ;Sunpadh;persian;478025
100638  ;        ;Khurramites;persian;
100639  ;        ;Khorramdin;persian;
100640  ;        ;Maziar;persian;
100641  ;        ;Mardavij;persian;
100642  ;        ;Ustadh;persian;
100643  ;        ;Saffari;persian;1230320|1230321|1230322|1230323|1230324
100644  ;        ;Laith;persian;
100645  ;        ;Ferdowsi;persian;
100646  ;        ;Tamerlane;persian;
100647  ;        ;Hulagu;persian;
100648  ;        ;Ajami;persian;478021
100649  ;        ;Basri;bedouin_arabic;227001
100650  ;        ;Hallaj;bedouin_arabic;227101|427101
100651  ;        ;Baghdadi;bedouin_arabic;227102|427102
100652  ;        ;Bistami;bedouin_arabic;227103|427103
100653  ;        ;Karkhi;bedouin_arabic;227104|427104
100654  ;        ;Qadir;bedouin_arabic;227105|427105
100655  ;        ;Jilani;bedouin_arabic;227002
100656  ;        ;Chishti;bedouin_arabic;227003
100657  ;        ;Rumi;persian;478020|225016
100658  ;        ;Hamadan;persian;225017
100659  ;        ;Parthi;persian;
100660  ;        ;Kubra;persian;
100661  ;        ;Naqshband;persian;
100662  ;        ;Bukhari;persian;478100
100663  ;        ;Hanifa;persian;
100664  ;        ;Khaldun;persian;225012
100665  ;        ;Dinid;persian;
100666  ;        ;Tusid;persian;225018|194308
100667  ;        ;Shirazid;persian;145968|145969|34360|34361|34362|34363|34364|34365|34366|34367|34368|34369|34370|34371|34372|34373|34374|34375|34376|34377|34378|34379|34380|34381|167709|167710|167711|167712|167713
100668  ;        ;Khusrawid;persian;225019
100669  ;        ;Birunid;persian;225020|478090
100670  ;        ;Maraghid;persian;225021
100671  ;        ;Bakunc;armenian;225022
100672  ;        ;Arakelian;armenian;225023
100673  ;        ;Muqaffid;persian;225024|480220
100674  ;        ;Özkan;turkish;228073|480230
100675  ;        ;Doganin;turkish;228074|480240
100676  ;        ;Zevdginidze;georgian;
100677  ;        ;Amirejibi;georgian;
100678  ;        ;Nafpliotis;greek;225026
100679  ;        ;Abazasdze;georgian;
100680  ;        ;Khosroviani;georgian;159603|159604|159605|159607|159608|159609|159610|159606|159758|159759|159760|159770|159761|159762|159763|159764|159765|159766|159767|159768|159769|159771|159772|159773|159774|159775|159778|159779|159780
100681  ;        ;Baboian;armenian;225027
100682  ;        ;Bagdazarian;armenian;225028
100683  ;        ;Badr;bedouin_arabic;226001|478070
100684  ;        ;Kirdar;bedouin_arabic;226002|34521|34522|34523|34524|34525|34526|34527|34528|34529|34530|34531
100685  ;        ;Arsacid;persian;159616|159580|159581|159582|159583|159584|159585|159586|159587|159588|159589|159590|159591|159592|159593|159594|159595|159596|159597|159598|159546|159547|159548|159549|159550|159551|226014|159579
100686  ;        ;Ashkan;persian;225013
100687  ;        ;Abedi;bedouin_arabic;34532|34533|34534|34535|34536|34537|34538|34539|34540|34541|34542|34543
100688  ;        ;Miqadiyid;bedouin_arabic;227004
100689  ;        ;Munirid;bedouin_arabic;227005
100690  ;        ;Nabhanid;bedouin_arabic;144145|144561|144562|144563|144564|227006|1236000|1236001|1236002|1236003|1236004|1236005|1236006|1236007|1236008|1236009|1236010|1236011|1236012|1236013|1236014|1236015
100691  ;        ;Nasiraid;bedouin_arabic;34993|227007|188654
100692  ;        ;Nadjafid;bedouin_arabic;227008
100693  ;        ;Hamdan;bedouin_arabic;
100694  ;        ;Ashhadid;bedouin_arabic;227009
100695  ;        ;Quraishid;bedouin_arabic;227010
100696  ;        ;Kamalid;bedouin_arabic;225014
100697  ;        ;Mosulid;bedouin_arabic;226013
100698  ;        ;Jazrid;bedouin_arabic;226015
100699  ;        ;Husayn;bedouin_arabic;226003
100700  ;        ;Barsamian;armenian;226004
100701  ;        ;Ortokid;turkish;1229930|144065|144066|144067|144068|144069|144070|144071|144072|225010|34241|34242|34243|34244|34245|34246|34247|34248|34249|34250|34251|34252|34253|34254|34255|34256|34257|34258|34259|34260|34261|93460
100702  ;        ;Saltukid;armenian;144044|144045|144046|144047|225025|34395|34396|34397
100703  ;        ;Haladjian;armenian;225029
100704  ;        ;Mengujek;turkish;144073|144074|144075|215043|34234|34235|34236|34237|34238|34239|34240
100705  ;        ;Hatzidákis;greek;225008|476460
100706  ;        ;Harpootlian;armenian;20562|90024|90025|90026|225009
100707  ;        ;Artuqid;turkish;226005
100708  ;        ;Nazeerid;bedouin_arabic;226006
100709  ;        ;Nasrid;bedouin_arabic;73941|226009|485370
100710  ;        ;Bichrid;bedouin_arabic;226016|485380
100711  ;        ;Hafizid;bedouin_arabic;226017
100712  ;        ;Fakhourid;bedouin_arabic;226018
100713  ;        ;Nawawid;bedouin_arabic;226021|485110
100714  ;        ;Naderid;bedouin_arabic;485120|226022
100715  ;        ;Chakroun;bedouin_arabic;227011|1232902
100716  ;        ;Atrashid;bedouin_arabic;226034|485040
100717  ;        ;Shehhid;bedouin_arabic;226035|485050
100718  ;        ;Farooqid;levantine_arabic;226036|485060
100719  ;        ;Elbazid;levantine_arabic;226033|485030
100720  ;        ;Abbarid;levantine_arabic;226037|485080
100721  ;        ;Abbasid;levantine_arabic;226038|485090
100722  ;        ;Shamid;levantine_arabic;226023|485130
100723  ;        ;Allawid;levantine_arabic;226024|485140
100724  ;        ;Aqilid;levantine_arabic;485100
100725  ;        ;Qahtanid;levantine_arabic;485150
100726  ;        ;Bahjatid;levantine_arabic;226025|485160
100727  ;        ;Bekkalid;levantine_arabic;226020|485360
100728  ;        ;Baradid;levantine_arabic;226026|485390
100729  ;        ;Bseisoid;levantine_arabic;226019|485400
100730  ;        ;Fattaid;levantine_arabic;226010|485410
100731  ;        ;Fazilid;levantine_arabic;485420
100732  ;        ;Gheisarid;levantine_arabic;
100733  ;        ;Hayekid;levantine_arabic;485300
100734  ;        ;Ibrahimid;levantine_arabic;226008
100735  ;        ;Kaprielian;armenian;
100736  ;        ;Kezerian;armenian;
100737  ;        ;Aprenos;greek;
100738  ;        ;Chortatzis;greek;
100739  ;        ;Gabrielopoulos;greek;1232280
100740  ;        ;Gounaropoulos;greek;
100741  ;        ;Belissariotis;greek;
100742  ;        ;Konstantopoulos;greek;215033
100743  ;        ;Kavallarios;greek;
100744  ;        ;Maniakis;greek;1232116|1232117|1232274|476510
100745  ;        ;Notaras;greek;
100746  ;        ;Sgouromallis;greek;
100747  ;        ;Epiphanis;greek;476100
100748  ;        ;Logaras;greek;
100749  ;        ;Eudaimon;greek;
100750  ;        ;Sakellarios;greek;225006
100751  ;        ;Maurozoumis;greek;225007
100752  ;        ;Stylaios;greek;225001
100753  ;        ;Maleinos;greek;145144|145145|145146|1232449|1232450|1232451|1232452|1232453|1232454|1232455|1232456
100754  ;        ;Basilakios;greek;215032
100755  ;        ;Mamonas;greek;
100756  ;        ;Kekaumenos;greek;1232155|1232218
100757  ;        ;Metaxas;greek;
100758  ;        ;Kanavos;greek;
100759  ;        ;Koukouzelis;greek;
100760  ;        ;Koresis;greek;225003
100761  ;        ;Aharonian;armenian;
100762  ;        ;Sahakyan;armenian;
100763  ;        ;Makrinos;greek;
100764  ;        ;Lambardas;greek;485320
100765  ;        ;Abdel Nour;levantine_arabic;485330|227012
100766  ;        ;Abdilla;levantine_arabic;485340
100767  ;        ;Mahdi;levantine_arabic;485290
100768  ;        ;el-Khattab;levantine_arabic;485350
100769  ;        ;Moneim;levantine_arabic;485190
100770  ;        ;Moosevi;levantine_arabic;485200
100771  ;        ;Mubarak;levantine_arabic;485210
100772  ;        ;Moustapha;levantine_arabic;485180
100773  ;        ;Nader;levantine_arabic;485220
100774  ;        ;Nafti;levantine_arabic;485230
100775  ;        ;Alam;levantine_arabic;485240
100776  ;        ;Naguib;levantine_arabic;34555|34556|34557|34558|34559|34560|34561|34562|34563|34564|34565|34566
100777  ;        ;Naeemi;levantine_arabic;485170
100778  ;        ;Nahhas;levantine_arabic;485260
100779  ;        ;Nimri;levantine_arabic;485270
100780  ;        ;Himsi;levantine_arabic;485280
100781  ;        ;Haleem;levantine_arabic;226099|485450
100782  ;        ;Qaderi;levantine_arabic;485460
100783  ;        ;Atef;levantine_arabic;226028|485470|34507|34508|34509|34510|34511|34512|34513|34514|34515|34516|34517
100784  ;        ;Aqabid;levantine_arabic;226029|485480
100785  ;        ;Jalalid;levantine_arabic;226031|485490
100786  ;        ;Jarraid;levantine_arabic;485010
100787  ;        ;Arishid;levantine_arabic;226030|485440
100788  ;        ;Jasemid;levantine_arabic;226032|485020
100789  ;        ;Azizid;egyptian_arabic;
100790  ;        ;Ghanemid;egyptian_arabic;
100791  ;        ;Abazid;egyptian_arabic;
100792  ;        ;Hararid;egyptian_arabic;
100793  ;        ;Bayoumid;egyptian_arabic;34981
100794  ;        ;Bashandid;egyptian_arabic;
100795  ;        ;Bakhoumid;egyptian_arabic;
100796  ;        ;Bekhitid;egyptian_arabic;
100797  ;        ;Bahurid;egyptian_arabic;
100798  ;        ;Banoubid;egyptian_arabic;
100799  ;        ;Shenoudid;egyptian_arabic;
100800  ;        ;Abusirid;egyptian_arabic;
100801  ;        ;Abuhairyid;egyptian_arabic;
100802  ;        ;Masrid;egyptian_arabic;
100803  ;        ;Shamyid;egyptian_arabic;226040
100804  ;        ;Abuneb;egyptian_arabic;226041
100805  ;        ;Ramzan;egyptian_arabic;226042
100806  ;        ;Hannachid;maghreb_arabic;226043
100807  ;        ;Sabrid;maghreb_arabic;226044
100808  ;        ;Safavid;maghreb_arabic;20818|226039
100809  ;        ;Sajjadid;maghreb_arabic;226046|483010
100810  ;        ;Saidid;maghreb_arabic;226047|483020
100811  ;        ;Sedkid;maghreb_arabic;226048|483030
100812  ;        ;Shakeelid;maghreb_arabic;
100813  ;        ;Sharifid;maghreb_arabic;226049|483040
100814  ;        ;Shehzadid;maghreb_arabic;226045|483050
100815  ;        ;Sidqid;maghreb_arabic;224027|483060
100816  ;        ;Tahirid;maghreb_arabic;224028|483070
100817  ;        ;Talalid;maghreb_arabic;224026|483000
100818  ;        ;Medjerdid;maghreb_arabic;224031|483080
100819  ;        ;Tasneemid;maghreb_arabic;224029|483090
100820  ;        ;Tayebid;maghreb_arabic;224030|483100
100821  ;        ;Umarid;maghreb_arabic;224032|483110
100822  ;        ;Waheedid;maghreb_arabic;224033|483120
100823  ;        ;Wahidid;maghreb_arabic;224034|484020
100824  ;        ;Waleedid;maghreb_arabic;224036|484040
100825  ;        ;Wazirid;maghreb_arabic;224035|484030
100826  ;        ;Yakubid;andalusian_arabic;224049
100827  ;        ;Yassin;andalusian_arabic;
100828  ;        ;Younisid;maghreb_arabic;224037|484050
100829  ;        ;Zafarid;maghreb_arabic;224038|484060
100830  ;        ;Zahirid;maghreb_arabic;224039|484070
100831  ;        ;Zakariyid;maghreb_arabic;224040|484080
100832  ;        ;Zakidid;maghreb_arabic;224041|484090
100833  ;        ;Zaydid;maghreb_arabic;224042|484100
100834  ;        ;Abdoid;maghreb_arabic;224043|484000
100835  ;        ;Abidin;maghreb_arabic;224044|484010
100836  ;        ;Adilid;maghreb_arabic;224045|482010
100837  ;        ;Balochid;maghreb_arabic;224046|482020
100838  ;        ;Bakkalid;maghreb_arabic;224047|482030
